UTLA19CD,UTLA19NM,Week number,deaths
E09000023,Lewisham,1,0
E09000024,Merton,1,0
E09000025,Newham,1,0
E09000026,Redbridge,1,0
E09000027,Richmond upon Thames,1,0
E09000028,Southwark,1,0
E09000029,Sutton,1,0
E09000030,Tower Hamlets,1,0
E09000031,Waltham Forest,1,0
E09000032,Wandsworth,1,0
E09000033,Westminster,1,0
W06000001,Isle of Anglesey,1,0
W06000002,Gwynedd,1,0
W06000003,Conwy,1,0
W06000004,Denbighshire,1,0
W06000005,Flintshire,1,0
W06000006,Wrexham,1,0
W06000008,Ceredigion,1,0
W06000009,Pembrokeshire,1,0
W06000010,Carmarthenshire,1,0
W06000011,Swansea,1,0
W06000012,Neath Port Talbot,1,0
W06000013,Bridgend,1,0
W06000014,Vale of Glamorgan,1,0
W06000015,Cardiff,1,0
W06000016,Rhondda Cynon Taf,1,0
W06000018,Caerphilly,1,0
W06000019,Blaenau Gwent,1,0
W06000020,Torfaen,1,0
W06000021,Monmouthshire,1,0
W06000022,Newport,1,0
W06000023,Powys,1,0
W06000024,Merthyr Tydfil,1,0
E06000001,Hartlepool,2,0
E06000002,Middlesbrough,2,0
E06000003,Redcar and Cleveland,2,0
E06000004,Stockton-on-Tees,2,0
E06000005,Darlington,2,0
E06000006,Halton,2,0
E06000007,Warrington,2,0
E06000008,Blackburn with Darwen,2,0
E06000009,Blackpool,2,0
E06000010,"Kingston upon Hull, City of",2,0
E06000011,East Riding of Yorkshire,2,0
E06000012,North East Lincolnshire,2,0
E06000013,North Lincolnshire,2,0
E06000014,York,2,0
E06000015,Derby,2,0
E06000016,Leicester,2,0
E06000017,Rutland,2,0
E06000018,Nottingham,2,0
E06000019,"Herefordshire, County of",2,0
E06000020,Telford and Wrekin,2,0
E06000021,Stoke-on-Trent,2,0
E06000022,Bath and North East Somerset,2,0
E06000023,"Bristol, City of",2,0
E06000024,North Somerset,2,0
E06000025,South Gloucestershire,2,0
E06000026,Plymouth,2,0
E06000027,Torbay,2,0
E06000030,Swindon,2,0
E06000031,Peterborough,2,0
E06000032,Luton,2,0
E06000033,Southend-on-Sea,2,0
E06000034,Thurrock,2,0
E06000035,Medway,2,0
E06000036,Bracknell Forest,2,0
E06000037,West Berkshire,2,0
E06000038,Reading,2,0
E06000039,Slough,2,0
E06000040,Windsor and Maidenhead,2,0
E06000041,Wokingham,2,0
E06000042,Milton Keynes,2,0
E06000043,Brighton and Hove,2,0
E06000044,Portsmouth,2,0
E06000045,Southampton,2,0
E06000046,Isle of Wight,2,0
E06000047,County Durham,2,0
E06000049,Cheshire East,2,0
E06000050,Cheshire West and Chester,2,0
E06000051,Shropshire,2,0
E06000052,Cornwall,2,0
E06000053,Isles of Scilly,2,0
E06000054,Wiltshire,2,0
E06000055,Bedford,2,0
E06000056,Central Bedfordshire,2,0
E06000057,Northumberland,2,0
E06000058,"Bournemouth, Christchurch and Poole",2,0
E06000059,Dorset,2,0
E10000002,Buckinghamshire,2,0
E10000003,Cambridgeshire,2,0
E10000006,Cumbria,2,0
E10000007,Derbyshire,2,0
E10000008,Devon,2,0
E10000011,East Sussex,2,0
E10000012,Essex,2,0
E10000013,Gloucestershire,2,0
E10000014,Hampshire,2,0
E10000015,Hertfordshire,2,0
E10000016,Kent,2,0
E10000017,Lancashire,2,0
E10000018,Leicestershire,2,0
E10000019,Lincolnshire,2,0
E10000020,Norfolk,2,0
E10000021,Northamptonshire,2,0
E10000023,North Yorkshire,2,0
E10000024,Nottinghamshire,2,0
E10000025,Oxfordshire,2,0
E10000027,Somerset,2,0
E10000028,Staffordshire,2,0
E10000029,Suffolk,2,0
E10000030,Surrey,2,0
E10000031,Warwickshire,2,0
E10000032,West Sussex,2,0
E10000034,Worcestershire,2,0
E08000001,Bolton,2,0
E08000002,Bury,2,0
E08000003,Manchester,2,0
E08000004,Oldham,2,0
E08000005,Rochdale,2,0
E08000006,Salford,2,0
E08000007,Stockport,2,0
E08000008,Tameside,2,0
E08000009,Trafford,2,0
E08000010,Wigan,2,0
E08000011,Knowsley,2,0
E08000012,Liverpool,2,0
E08000013,St. Helens,2,0
E08000014,Sefton,2,0
E08000015,Wirral,2,0
E08000016,Barnsley,2,0
E08000017,Doncaster,2,0
E08000018,Rotherham,2,0
E08000019,Sheffield,2,0
E08000021,Newcastle upon Tyne,2,0
E08000022,North Tyneside,2,0
E08000023,South Tyneside,2,0
E08000024,Sunderland,2,0
E08000025,Birmingham,2,0
E08000026,Coventry,2,0
E08000027,Dudley,2,0
E08000028,Sandwell,2,0
E08000029,Solihull,2,0
E08000030,Walsall,2,0
E08000031,Wolverhampton,2,0
E08000032,Bradford,2,0
E08000033,Calderdale,2,0
E08000034,Kirklees,2,0
E08000035,Leeds,2,0
E08000036,Wakefield,2,0
E08000037,Gateshead,2,0
E09000001,City of London,2,0
E09000002,Barking and Dagenham,2,0
E09000003,Barnet,2,0
E09000004,Bexley,2,0
E09000005,Brent,2,0
E09000006,Bromley,2,0
E09000007,Camden,2,0
E09000008,Croydon,2,0
E09000009,Ealing,2,0
E09000010,Enfield,2,0
E09000011,Greenwich,2,0
E09000012,Hackney,2,0
E09000013,Hammersmith and Fulham,2,0
E09000014,Haringey,2,0
E09000015,Harrow,2,0
E09000016,Havering,2,0
E09000017,Hillingdon,2,0
E09000018,Hounslow,2,0
E09000019,Islington,2,0
E09000020,Kensington and Chelsea,2,0
E09000021,Kingston upon Thames,2,0
E09000022,Lambeth,2,0
E09000023,Lewisham,2,0
E09000024,Merton,2,0
E09000025,Newham,2,0
E09000026,Redbridge,2,0
E09000027,Richmond upon Thames,2,0
E09000028,Southwark,2,0
E09000029,Sutton,2,0
E09000030,Tower Hamlets,2,0
E09000031,Waltham Forest,2,0
E09000032,Wandsworth,2,0
E09000033,Westminster,2,0
W06000001,Isle of Anglesey,2,0
W06000002,Gwynedd,2,0
W06000003,Conwy,2,0
W06000004,Denbighshire,2,0
W06000005,Flintshire,2,0
W06000006,Wrexham,2,0
W06000008,Ceredigion,2,0
W06000009,Pembrokeshire,2,0
W06000010,Carmarthenshire,2,0
W06000011,Swansea,2,0
W06000012,Neath Port Talbot,2,0
W06000013,Bridgend,2,0
W06000014,Vale of Glamorgan,2,0
W06000015,Cardiff,2,0
W06000016,Rhondda Cynon Taf,2,0
W06000018,Caerphilly,2,0
W06000019,Blaenau Gwent,2,0
W06000020,Torfaen,2,0
W06000021,Monmouthshire,2,0
W06000022,Newport,2,0
W06000023,Powys,2,0
W06000024,Merthyr Tydfil,2,0
E06000001,Hartlepool,3,0
E06000002,Middlesbrough,3,0
E06000003,Redcar and Cleveland,3,0
E06000004,Stockton-on-Tees,3,0
E06000005,Darlington,3,0
E06000006,Halton,3,0
E06000007,Warrington,3,0
E06000008,Blackburn with Darwen,3,0
E06000009,Blackpool,3,0
E06000010,"Kingston upon Hull, City of",3,0
E06000011,East Riding of Yorkshire,3,0
E06000012,North East Lincolnshire,3,0
E06000013,North Lincolnshire,3,0
E06000014,York,3,0
E06000015,Derby,3,0
E06000016,Leicester,3,0
E06000017,Rutland,3,0
E06000018,Nottingham,3,0
E06000019,"Herefordshire, County of",3,0
E06000020,Telford and Wrekin,3,0
E06000021,Stoke-on-Trent,3,0
E06000022,Bath and North East Somerset,3,0
E06000023,"Bristol, City of",3,0
E06000024,North Somerset,3,0
E06000025,South Gloucestershire,3,0
E06000026,Plymouth,3,0
E06000027,Torbay,3,0
E06000030,Swindon,3,0
E06000031,Peterborough,3,0
E06000032,Luton,3,0
E06000033,Southend-on-Sea,3,0
E06000034,Thurrock,3,0
E06000035,Medway,3,0
E06000036,Bracknell Forest,3,0
E06000037,West Berkshire,3,0
E06000038,Reading,3,0
E06000039,Slough,3,0
E06000040,Windsor and Maidenhead,3,0
E06000041,Wokingham,3,0
E06000042,Milton Keynes,3,0
E06000043,Brighton and Hove,3,0
E06000044,Portsmouth,3,0
E06000045,Southampton,3,0
E06000046,Isle of Wight,3,0
E06000047,County Durham,3,0
E06000049,Cheshire East,3,0
E06000050,Cheshire West and Chester,3,0
E06000051,Shropshire,3,0
E06000052,Cornwall,3,0
E06000053,Isles of Scilly,3,0
E06000054,Wiltshire,3,0
E06000055,Bedford,3,0
E06000056,Central Bedfordshire,3,0
E06000057,Northumberland,3,0
E06000058,"Bournemouth, Christchurch and Poole",3,0
E06000059,Dorset,3,0
E10000002,Buckinghamshire,3,0
E10000003,Cambridgeshire,3,0
E10000006,Cumbria,3,0
E10000007,Derbyshire,3,0
E10000008,Devon,3,0
E10000011,East Sussex,3,0
E10000012,Essex,3,0
E10000013,Gloucestershire,3,0
E10000014,Hampshire,3,0
E10000015,Hertfordshire,3,0
E10000016,Kent,3,0
E10000017,Lancashire,3,0
E10000018,Leicestershire,3,0
E10000019,Lincolnshire,3,0
E10000020,Norfolk,3,0
E10000021,Northamptonshire,3,0
E10000023,North Yorkshire,3,0
E10000024,Nottinghamshire,3,0
E10000025,Oxfordshire,3,0
E10000027,Somerset,3,0
E10000028,Staffordshire,3,0
E10000029,Suffolk,3,0
E10000030,Surrey,3,0
E10000031,Warwickshire,3,0
E10000032,West Sussex,3,0
E10000034,Worcestershire,3,0
E08000001,Bolton,3,0
E08000002,Bury,3,0
E08000003,Manchester,3,0
E08000004,Oldham,3,0
E08000005,Rochdale,3,0
E08000006,Salford,3,0
E08000007,Stockport,3,0
E08000008,Tameside,3,0
E08000009,Trafford,3,0
E08000010,Wigan,3,0
E08000011,Knowsley,3,0
E08000012,Liverpool,3,0
E08000013,St. Helens,3,0
E08000014,Sefton,3,0
E08000015,Wirral,3,0
E08000016,Barnsley,3,0
E08000017,Doncaster,3,0
E08000018,Rotherham,3,0
E08000019,Sheffield,3,0
E08000021,Newcastle upon Tyne,3,0
E08000022,North Tyneside,3,0
E08000023,South Tyneside,3,0
E08000024,Sunderland,3,0
E08000025,Birmingham,3,0
E08000026,Coventry,3,0
E08000027,Dudley,3,0
E08000028,Sandwell,3,0
E08000029,Solihull,3,0
E08000030,Walsall,3,0
E08000031,Wolverhampton,3,0
E08000032,Bradford,3,0
E08000033,Calderdale,3,0
E08000034,Kirklees,3,0
E08000035,Leeds,3,0
E08000036,Wakefield,3,0
E08000037,Gateshead,3,0
E09000001,City of London,3,0
E09000002,Barking and Dagenham,3,0
E09000003,Barnet,3,0
E09000004,Bexley,3,0
E09000005,Brent,3,0
E09000006,Bromley,3,0
E09000007,Camden,3,0
E09000008,Croydon,3,0
E09000009,Ealing,3,0
E09000010,Enfield,3,0
E09000011,Greenwich,3,0
E09000012,Hackney,3,0
E09000013,Hammersmith and Fulham,3,0
E09000014,Haringey,3,0
E09000015,Harrow,3,0
E09000016,Havering,3,0
E09000017,Hillingdon,3,0
E09000018,Hounslow,3,0
E09000019,Islington,3,0
E09000020,Kensington and Chelsea,3,0
E09000021,Kingston upon Thames,3,0
E09000022,Lambeth,3,0
E09000023,Lewisham,3,0
E09000024,Merton,3,0
E09000025,Newham,3,0
E09000026,Redbridge,3,0
E09000027,Richmond upon Thames,3,0
E09000028,Southwark,3,0
E09000029,Sutton,3,0
E09000030,Tower Hamlets,3,0
E09000031,Waltham Forest,3,0
E09000032,Wandsworth,3,0
E09000033,Westminster,3,0
W06000001,Isle of Anglesey,3,0
W06000002,Gwynedd,3,0
W06000003,Conwy,3,0
W06000004,Denbighshire,3,0
W06000005,Flintshire,3,0
W06000006,Wrexham,3,0
W06000008,Ceredigion,3,0
W06000009,Pembrokeshire,3,0
W06000010,Carmarthenshire,3,0
W06000011,Swansea,3,0
W06000012,Neath Port Talbot,3,0
W06000013,Bridgend,3,0
W06000014,Vale of Glamorgan,3,0
W06000015,Cardiff,3,0
W06000016,Rhondda Cynon Taf,3,0
W06000018,Caerphilly,3,0
W06000019,Blaenau Gwent,3,0
W06000020,Torfaen,3,0
W06000021,Monmouthshire,3,0
W06000022,Newport,3,0
W06000023,Powys,3,0
W06000024,Merthyr Tydfil,3,0
E06000001,Hartlepool,4,0
E06000002,Middlesbrough,4,0
E06000003,Redcar and Cleveland,4,0
E06000004,Stockton-on-Tees,4,0
E06000005,Darlington,4,0
E06000006,Halton,4,0
E06000007,Warrington,4,0
E06000008,Blackburn with Darwen,4,0
E06000009,Blackpool,4,0
E06000010,"Kingston upon Hull, City of",4,0
E06000011,East Riding of Yorkshire,4,0
E06000012,North East Lincolnshire,4,0
E06000013,North Lincolnshire,4,0
E06000014,York,4,0
E06000015,Derby,4,0
E06000016,Leicester,4,0
E06000017,Rutland,4,0
E06000018,Nottingham,4,0
E06000019,"Herefordshire, County of",4,0
E06000020,Telford and Wrekin,4,0
E06000021,Stoke-on-Trent,4,0
E06000022,Bath and North East Somerset,4,0
E06000023,"Bristol, City of",4,0
E06000024,North Somerset,4,0
E06000025,South Gloucestershire,4,0
E06000026,Plymouth,4,0
E06000027,Torbay,4,0
E06000030,Swindon,4,0
E06000031,Peterborough,4,0
E06000032,Luton,4,0
E06000033,Southend-on-Sea,4,0
E06000034,Thurrock,4,0
E06000035,Medway,4,0
E06000036,Bracknell Forest,4,0
E06000037,West Berkshire,4,0
E06000038,Reading,4,0
E06000039,Slough,4,0
E06000040,Windsor and Maidenhead,4,0
E06000041,Wokingham,4,0
E06000042,Milton Keynes,4,0
E06000043,Brighton and Hove,4,0
E06000044,Portsmouth,4,0
E06000045,Southampton,4,0
E06000046,Isle of Wight,4,0
E06000047,County Durham,4,0
E06000049,Cheshire East,4,0
E06000050,Cheshire West and Chester,4,0
E06000051,Shropshire,4,0
E06000052,Cornwall,4,0
E06000053,Isles of Scilly,4,0
E06000054,Wiltshire,4,0
E06000055,Bedford,4,0
E06000056,Central Bedfordshire,4,0
E06000057,Northumberland,4,0
E06000058,"Bournemouth, Christchurch and Poole",4,0
E06000059,Dorset,4,0
E10000002,Buckinghamshire,4,0
E10000003,Cambridgeshire,4,0
E10000006,Cumbria,4,0
E10000007,Derbyshire,4,0
E10000008,Devon,4,0
E10000011,East Sussex,4,0
E10000012,Essex,4,0
E10000013,Gloucestershire,4,0
E10000014,Hampshire,4,0
E10000015,Hertfordshire,4,0
E10000016,Kent,4,0
E10000017,Lancashire,4,0
E10000018,Leicestershire,4,0
E10000019,Lincolnshire,4,0
E10000020,Norfolk,4,0
E10000021,Northamptonshire,4,0
E10000023,North Yorkshire,4,0
E10000024,Nottinghamshire,4,0
E10000025,Oxfordshire,4,0
E10000027,Somerset,4,0
E10000028,Staffordshire,4,0
E10000029,Suffolk,4,0
E10000030,Surrey,4,0
E10000031,Warwickshire,4,0
E10000032,West Sussex,4,0
E10000034,Worcestershire,4,0
E08000001,Bolton,4,0
E08000002,Bury,4,0
E08000003,Manchester,4,0
E08000004,Oldham,4,0
E08000005,Rochdale,4,0
E08000006,Salford,4,0
E08000007,Stockport,4,0
E08000008,Tameside,4,0
E08000009,Trafford,4,0
E08000010,Wigan,4,0
E08000011,Knowsley,4,0
E08000012,Liverpool,4,0
E08000013,St. Helens,4,0
E08000014,Sefton,4,0
E08000015,Wirral,4,0
E08000016,Barnsley,4,0
E08000017,Doncaster,4,0
E08000018,Rotherham,4,0
E08000019,Sheffield,4,0
E08000021,Newcastle upon Tyne,4,0
E08000022,North Tyneside,4,0
E08000023,South Tyneside,4,0
E08000024,Sunderland,4,0
E08000025,Birmingham,4,0
E08000026,Coventry,4,0
E08000027,Dudley,4,0
E08000028,Sandwell,4,0
E08000029,Solihull,4,0
E08000030,Walsall,4,0
E08000031,Wolverhampton,4,0
E08000032,Bradford,4,0
E08000033,Calderdale,4,0
E08000034,Kirklees,4,0
E08000035,Leeds,4,0
E08000036,Wakefield,4,0
E08000037,Gateshead,4,0
E09000001,City of London,4,0
E09000002,Barking and Dagenham,4,0
E09000003,Barnet,4,0
E09000004,Bexley,4,0
E09000005,Brent,4,0
E09000006,Bromley,4,0
E09000007,Camden,4,0
E09000008,Croydon,4,0
E09000009,Ealing,4,0
E09000010,Enfield,4,0
E09000011,Greenwich,4,0
E09000012,Hackney,4,0
E09000013,Hammersmith and Fulham,4,0
E09000014,Haringey,4,0
E09000015,Harrow,4,0
E09000016,Havering,4,0
E09000017,Hillingdon,4,0
E09000018,Hounslow,4,0
E09000019,Islington,4,0
E09000020,Kensington and Chelsea,4,0
E09000021,Kingston upon Thames,4,0
E09000022,Lambeth,4,0
E09000023,Lewisham,4,0
E09000024,Merton,4,0
E09000025,Newham,4,0
E09000026,Redbridge,4,0
E09000027,Richmond upon Thames,4,0
E09000028,Southwark,4,0
E09000029,Sutton,4,0
E09000030,Tower Hamlets,4,0
E09000031,Waltham Forest,4,0
E09000032,Wandsworth,4,0
E09000033,Westminster,4,0
W06000001,Isle of Anglesey,4,0
W06000002,Gwynedd,4,0
W06000003,Conwy,4,0
W06000004,Denbighshire,4,0
W06000005,Flintshire,4,0
W06000006,Wrexham,4,0
W06000008,Ceredigion,4,0
W06000009,Pembrokeshire,4,0
W06000010,Carmarthenshire,4,0
W06000011,Swansea,4,0
W06000012,Neath Port Talbot,4,0
W06000013,Bridgend,4,0
W06000014,Vale of Glamorgan,4,0
W06000015,Cardiff,4,0
W06000016,Rhondda Cynon Taf,4,0
W06000018,Caerphilly,4,0
W06000019,Blaenau Gwent,4,0
W06000020,Torfaen,4,0
W06000021,Monmouthshire,4,0
W06000022,Newport,4,0
W06000023,Powys,4,0
W06000024,Merthyr Tydfil,4,0
E06000001,Hartlepool,5,0
E06000002,Middlesbrough,5,0
E06000003,Redcar and Cleveland,5,0
E06000004,Stockton-on-Tees,5,0
E06000005,Darlington,5,0
E06000006,Halton,5,0
E06000007,Warrington,5,0
E06000008,Blackburn with Darwen,5,0
E06000009,Blackpool,5,0
E06000010,"Kingston upon Hull, City of",5,0
E06000011,East Riding of Yorkshire,5,0
E06000012,North East Lincolnshire,5,0
E06000013,North Lincolnshire,5,0
E06000014,York,5,0
E06000015,Derby,5,0
E06000016,Leicester,5,0
E06000017,Rutland,5,0
E06000018,Nottingham,5,0
E06000019,"Herefordshire, County of",5,0
E06000020,Telford and Wrekin,5,0
E06000021,Stoke-on-Trent,5,0
E06000022,Bath and North East Somerset,5,0
E06000023,"Bristol, City of",5,0
E06000024,North Somerset,5,0
E06000025,South Gloucestershire,5,0
E06000026,Plymouth,5,0
E06000027,Torbay,5,0
E06000030,Swindon,5,0
E06000031,Peterborough,5,0
E06000032,Luton,5,0
E06000033,Southend-on-Sea,5,0
E06000034,Thurrock,5,0
E06000035,Medway,5,0
E06000036,Bracknell Forest,5,0
E06000037,West Berkshire,5,0
E06000038,Reading,5,0
E06000039,Slough,5,0
E06000040,Windsor and Maidenhead,5,0
E06000041,Wokingham,5,0
E06000042,Milton Keynes,5,0
E06000043,Brighton and Hove,5,0
E06000044,Portsmouth,5,0
E06000045,Southampton,5,0
E06000046,Isle of Wight,5,0
E06000047,County Durham,5,0
E06000049,Cheshire East,5,0
E06000050,Cheshire West and Chester,5,0
E06000051,Shropshire,5,0
E06000052,Cornwall,5,0
E06000053,Isles of Scilly,5,0
E06000054,Wiltshire,5,0
E06000055,Bedford,5,0
E06000056,Central Bedfordshire,5,0
E06000057,Northumberland,5,0
E06000058,"Bournemouth, Christchurch and Poole",5,0
E06000059,Dorset,5,0
E10000002,Buckinghamshire,5,0
E10000003,Cambridgeshire,5,0
E10000006,Cumbria,5,0
E10000007,Derbyshire,5,0
E10000008,Devon,5,0
E10000011,East Sussex,5,0
E10000012,Essex,5,0
E10000013,Gloucestershire,5,0
E10000014,Hampshire,5,0
E10000015,Hertfordshire,5,0
E10000016,Kent,5,0
E10000017,Lancashire,5,0
E10000018,Leicestershire,5,0
E10000019,Lincolnshire,5,0
E10000020,Norfolk,5,0
E10000021,Northamptonshire,5,0
E10000023,North Yorkshire,5,0
E10000024,Nottinghamshire,5,0
E10000025,Oxfordshire,5,0
E10000027,Somerset,5,0
E10000028,Staffordshire,5,0
E10000029,Suffolk,5,0
E10000030,Surrey,5,0
E10000031,Warwickshire,5,0
E10000032,West Sussex,5,0
E10000034,Worcestershire,5,0
E08000001,Bolton,5,0
E08000002,Bury,5,0
E08000003,Manchester,5,0
E08000004,Oldham,5,0
E08000005,Rochdale,5,0
E08000006,Salford,5,0
E08000007,Stockport,5,0
E08000008,Tameside,5,0
E08000009,Trafford,5,0
E08000010,Wigan,5,0
E08000011,Knowsley,5,0
E08000012,Liverpool,5,0
E08000013,St. Helens,5,0
E08000014,Sefton,5,0
E08000015,Wirral,5,0
E08000016,Barnsley,5,0
E08000017,Doncaster,5,0
E08000018,Rotherham,5,0
E08000019,Sheffield,5,0
E08000021,Newcastle upon Tyne,5,0
E08000022,North Tyneside,5,0
E08000023,South Tyneside,5,0
E08000024,Sunderland,5,0
E08000025,Birmingham,5,0
E08000026,Coventry,5,0
E08000027,Dudley,5,0
E08000028,Sandwell,5,0
E08000029,Solihull,5,0
E08000030,Walsall,5,0
E08000031,Wolverhampton,5,0
E08000032,Bradford,5,0
E08000033,Calderdale,5,0
E08000034,Kirklees,5,0
E08000035,Leeds,5,0
E08000036,Wakefield,5,0
E08000037,Gateshead,5,0
E09000001,City of London,5,0
E09000002,Barking and Dagenham,5,0
E09000003,Barnet,5,0
E09000004,Bexley,5,0
E09000005,Brent,5,0
E09000006,Bromley,5,0
E09000007,Camden,5,0
E09000008,Croydon,5,0
E09000009,Ealing,5,0
E09000010,Enfield,5,0
E09000011,Greenwich,5,0
E09000012,Hackney,5,0
E09000013,Hammersmith and Fulham,5,0
E09000014,Haringey,5,0
E09000015,Harrow,5,0
E09000016,Havering,5,0
E09000017,Hillingdon,5,0
E09000018,Hounslow,5,0
E09000019,Islington,5,0
E09000020,Kensington and Chelsea,5,0
E09000021,Kingston upon Thames,5,0
E09000022,Lambeth,5,0
E09000023,Lewisham,5,0
E09000024,Merton,5,0
E09000025,Newham,5,0
E09000026,Redbridge,5,0
E09000027,Richmond upon Thames,5,0
E09000028,Southwark,5,0
E09000029,Sutton,5,0
E09000030,Tower Hamlets,5,0
E09000031,Waltham Forest,5,0
E09000032,Wandsworth,5,0
E09000033,Westminster,5,0
W06000001,Isle of Anglesey,5,0
W06000002,Gwynedd,5,0
W06000003,Conwy,5,0
W06000004,Denbighshire,5,0
W06000005,Flintshire,5,0
W06000006,Wrexham,5,0
W06000008,Ceredigion,5,0
W06000009,Pembrokeshire,5,0
W06000010,Carmarthenshire,5,0
W06000011,Swansea,5,0
W06000012,Neath Port Talbot,5,0
W06000013,Bridgend,5,0
W06000014,Vale of Glamorgan,5,0
W06000015,Cardiff,5,0
W06000016,Rhondda Cynon Taf,5,0
W06000018,Caerphilly,5,0
W06000019,Blaenau Gwent,5,0
W06000020,Torfaen,5,0
W06000021,Monmouthshire,5,0
W06000022,Newport,5,0
W06000023,Powys,5,0
W06000024,Merthyr Tydfil,5,0
E06000001,Hartlepool,6,0
E06000002,Middlesbrough,6,0
E06000003,Redcar and Cleveland,6,0
E06000004,Stockton-on-Tees,6,0
E06000005,Darlington,6,0
E06000006,Halton,6,0
E06000007,Warrington,6,0
E06000008,Blackburn with Darwen,6,0
E06000009,Blackpool,6,0
E06000010,"Kingston upon Hull, City of",6,0
E06000011,East Riding of Yorkshire,6,0
E06000012,North East Lincolnshire,6,0
E06000013,North Lincolnshire,6,0
E06000014,York,6,0
E06000015,Derby,6,0
E06000016,Leicester,6,0
E06000017,Rutland,6,0
E06000018,Nottingham,6,0
